awardNumber,awardTitle,awardURI,funderName,funderAbbreviation,funderIdentifer,funderIDType
AFN 15 - Project 8512502,AFN Network + Scoping Study (RES1511),,AFN Network +,AFN,,
AFN 15 - Project 8512502,AFN Network + Scoping Study (RES1531),,AFN Network +,AFN,,
4863271,Supply and Delivery of CarboSeq Modelling and Training (RES1519),,Agri-Food & Biosciences Institute,AFBI,05c5y5q11,ROR
4863271,Supply and Delivery of CarboSeq Modelling and Training (RES1533),,Agri-Food & Biosciences Institute,AFBI,05c5y5q11,ROR
,Aphid Clones for ADAS Project,,Agriculture and Horticulture Development Board,AHDB,010gf7388,ROR
860153,Aphid testing (RES1513),,Agriculture and Horticulture Development Board,AHDB,010gf7388,ROR
CCN6,Monitoring and managing insecticide resistance in UK pests,,Agriculture and Horticulture Development Board,AHDB,010gf7388,ROR
PO 868478,Sclerotinia spore monitoring - spring 2023 (RES1513),,Agriculture and Horticulture Development Board,AHDB,010gf7388,ROR
PO 868478,Sclerotinia spore monitoring - spring 2023 (RES1522),,Agriculture and Horticulture Development Board,AHDB,010gf7388,ROR
PO 870469,The resistance status and BYDV prevalence in aphid vectors 2023 (RES1513),,Agriculture and Horticulture Development Board,AHDB,010gf7388,ROR
UK Pest Resistance,Monitoring and managing insecticide resistance in UK pests - extension (RES1513),,Agriculture and Horticulture Development Board,AHDB,010gf7388,ROR
39400-ROTH-394010-22,AngloAmerican project - Polyhalite carbon proposal (RES1511),,AngloAmereican,ANGLO,0231mbz86,ROR
R16R04 F009484,Between environmental concerns and compliance,,Arts and Humanities Research Council,AHRC,0505m1554,ROR
Efficacy Testing Continuation,Resistance selection in Alopecurus and Lolium (RES1500),,BASF,BASF,059zcg682,ROR
Leaf Spot,Light leaf spot fungicide sensitivity survey for BASF,,BASF,BASF,059zcg682,ROR
Leaf Spot,Light leaf spot fungicide sensitivity survey for BASF (RES1522),,BASF,BASF,059zcg682,ROR
Light Leaf Spot,The screening of Light Leaf Spot isolates for sensitivity to four fungicides (SUR),,BASF,BASF,059zcg682,ROR
Myzus Persicae,Aphid Bioassays,,BASF,BASF,059zcg682,ROR
N/A,Further efficacy testing for a new pre-emergence herbicide MoA,,BASF,BASF,059zcg682,ROR
,Integration of chemical and microbiome approaches against Fusarium head blight,,Bayer AG,BAY,04hmn8g73,ROR
DD8F0D01-217A-43D0-9A1D-D397A2,Bayer - Wald 2 (BIOIF),,Bayer AG,BAY,04hmn8g73,ROR
DD8F0D01-217A-43D0-9A1D-D397A2,Bayer - Wald 2 (WP),,Bayer AG,BAY,04hmn8g73,ROR
Grants4Ag,Integration of chemical and microbiome approaches against Fusarium head blight (SM),,Bayer AG,BAY,04hmn8g73,ROR
PO 660439963,Automated Spore Detection of Wheat Foliar Pathogens (Sporetraps) (SUR),,Bayer AG,BAY,04hmn8g73,ROR
Soyabeann Rust,Joe Helps - Bayer Project (RES1519),,Bayer AG,BAY,04hmn8g73,ROR
test tes tes tes test t,TEST TEST TES TEST TEST (ESM),,Bayer AG,BAY,04hmn8g73,ROR
test tes tes tes test t,TEST TEST TES TEST TEST (MD),,Bayer AG,BAY,04hmn8g73,ROR
test tes tes tes test t,TEST TEST TES TEST TEST (WP),,Bayer AG,BAY,04hmn8g73,ROR
,Bilateral wheat improvement workshop with BalticWheat network,,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
,Derisking the commercial opportunities associated with novel omega-3 foodstuffs,,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
,DO NOT USE,,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
,Field evaluation of synthetic blends of semiochemicals for monitoring and control of wireworms,,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
,Field evaluation of synthetic blends of semiochemicals for monitoring and control of wireworms - Syngenta,,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
,Improving Production of High Value Terpene Synthases for Next Generation Pest Management,,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
,InViDA: Exploiting Cas12a for scarless conjugation-based in vivo DNA assembly technology (RES1518),,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
,InViDA: Exploiting Cas12a for scarless conjugation-based in vivo DNA assembly technology (RES1520),,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
,IUK SBRI Hydroponics (Phase 1),,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
,JHI LUNZ Hub (RES1516),,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
,JHI LUNZ Hub (RES1521),,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
,Linking UK rice research with translational science for farmers' fields,,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
,Modulating the trehalose 6-phosphate signalling pathway to increase wheat grain number (RES1507),,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
,Modulating the trehalose 6-phosphate signalling pathway to increase wheat grain number (RES1527),,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
,NW Business case 19/20,,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
91140082,"Field testing the user friendliness of a rapid, low-cost in-field available soil phosphate test kit (ESM)",,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
Apres Labs,(REL Innovation Fund) - Evaluation of an organically approved pesticide against Cabbage Stem Flea Beetle.,,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
ApresLabs,"Investigations into the potential of a natural synergist (SYN-A) to increase the potency of lambda-cyhalothrin against Psylliodes chrysocephala and its main parasitoid, Microctonus brassicae. (RES1522)",,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/V003429/1,NEW PROJECT RP10624-10 Improving Production of High Value Terpene Synthases for Next Generation Pest Management (PHI),https://gtr.ukri.org/projects?ref=BB/V003429/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/V011359/1,Demonstrate a pathway for delivering UK grown perennial biomass in order to de-risk the UK Government’s ambition for BECCS as a GGR technology providing at least 50 MtCO2 removal/year by 2050,https://gtr.ukri.org/projects?ref=BB/V011359/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/V011359/1,Greenhouse gas removal with UK agriculture and forestry via enhanced rock weathering (ESM),https://gtr.ukri.org/projects?ref=BB/V011359/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/V011359/1,Greenhouse gas removal with UK agriculture and forestry via enhanced rock weathering (NQ),https://gtr.ukri.org/projects?ref=BB/V011359/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/V015621/1,BR2CSFB - A toolkit for breeding resistance to adult and larval herbivory by the cabbage stem flea beetle (LMESB),https://gtr.ukri.org/projects?ref=BB/V015621/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/V015621/1,BR2CSFB - A toolkit for breeding resistance to adult and larval herbivory by the cabbage stem flea beetle (PHI),https://gtr.ukri.org/projects?ref=BB/V015621/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/V015621/1,BR2CSFB - A toolkit for breeding resistance to adult and larval herbivory by the cabbage stem flea beetle (STAT),https://gtr.ukri.org/projects?ref=BB/V015621/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/V017284/1,Ultrarapid real-time diagnostic tool of plant disease infection adapted for field deployment (PHI),https://gtr.ukri.org/projects?ref=BB/V017284/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/V017292/1,Microbial Production of Human Milk Fat Substitute,https://gtr.ukri.org/projects?ref=BB/V017292/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/W006979/1,Unlocking the potential of grain sample heterogeneity using machine vision (CPQ),https://gtr.ukri.org/projects?ref=BB/W006979/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/W007134/1,Elucidation of the signalling network linking pathogen infection and asparagine accumulation in wheat grain (RD),https://gtr.ukri.org/projects?ref=BB/W007134/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/W007134/1,Elucidation of the signalling network linking pathogen infection and asparagine accumulation in wheat grain (WP),https://gtr.ukri.org/projects?ref=BB/W007134/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/W011999/1,21ENGBIO: Re-engineering amino acid metabolism in wheat grain (PHI),https://gtr.ukri.org/projects?ref=BB/W011999/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/W011999/1,21ENGBIO: Re-engineering amino acid metabolism in wheat grain (PTGE),https://gtr.ukri.org/projects?ref=BB/W011999/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/W011999/1,21ENGBIO: Re-engineering amino acid metabolism in wheat grain (RD),https://gtr.ukri.org/projects?ref=BB/W011999/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/W018039/1,Exeter lead - trials of waste products from small scale shrimp farms - FIP (ESM),https://gtr.ukri.org/projects?ref=BB/W018039/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/W018705/1,Exploring and Driving Cooperative International Strategies in Sustainable Chiral Pool Natural Product Synthesis (Travel grant),https://gtr.ukri.org/projects?ref=BB/W018705/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/W510993/1,"BBSRC Waitrose CTP Research Impact and Career Development Fund, Individual Award (AGR)",https://gtr.ukri.org/projects?ref=BB/W510993/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/X002993/1,21EJP SOIL: CropGas: The effect of conservation agriculture interventions on  greenhouse gas emissions,https://gtr.ukri.org/projects?ref=BB/X002993/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/X005313/1,Ecological engineering the sugar beet virus yellows transmission pathway: the role of the non-crop environment and oilseed rape. (STAT),https://gtr.ukri.org/projects?ref=BB/X005313/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/X005313/1,Ecological engineering the sugar beet virus yellows transmission pathway: the role of the non-crop environment and oilseed rape. (SUR),https://gtr.ukri.org/projects?ref=BB/X005313/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/X010864/1-003,Omega-3 enhanced tomatoes (O3TOM),https://gtr.ukri.org/projects?ref=BB/X010864/1-003,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/X011747/1,Integrative modelling of grazing and geoelectrical signatures for soil compaction detection (RES1519),https://gtr.ukri.org/projects?ref=BB/X011747/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/X011917/1,Investigating the emerging threat of fungicide resistance to UK oilseed rape crop health (RES1513),https://gtr.ukri.org/projects?ref=BB/X011917/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/X011917/1,Investigating the emerging threat of fungicide resistance to UK oilseed rape crop health (RES1522),https://gtr.ukri.org/projects?ref=BB/X011917/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/X012131/1,Engineering Gene-for-Gene Resistance to Fusarium Head Blight in Wheat and Barley (BIOIF),https://gtr.ukri.org/projects?ref=BB/X012131/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/X012131/1,Engineering Gene-for-Gene Resistance to Fusarium Head Blight in Wheat and Barley (WP),https://gtr.ukri.org/projects?ref=BB/X012131/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/X017877/1,FTMA4 Freddie Theodoulou FTMA sLoLa (RES1526),https://gtr.ukri.org/projects?ref=BB/X017877/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/X018539/1,UK AU BBSRC UK AU BBSRC - Sensing Oats with APsim (SOAP),https://gtr.ukri.org/projects?ref=BB/X018539/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/X018539/1,UK AU BBSRCUK AU BBSRC - Sensing Oats with APsim (SOAP),https://gtr.ukri.org/projects?ref=BB/X018539/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/X018792/1,US-UK Collab: Resurrecting a role for roguing: Presymptomatic detection with multispectral imaging to quantify and control the transmission of cassava brown streak disease (RES1519),https://gtr.ukri.org/projects?ref=BB/X018792/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/X511201/1,Beneficial Beetles- materials for knowledge exchange with farmers,https://gtr.ukri.org/projects?ref=BB/X511201/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/X511201/1,Development of a third-generation sequencing platform for monitoring resistance evolution in economically important pathogen and weed populations,https://gtr.ukri.org/projects?ref=BB/X511201/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/X511201/1,Engagement Training Programme (ETP),https://gtr.ukri.org/projects?ref=BB/X511201/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/X511201/1,IAA - Sugar Beet Network to Enable Bioeconomic Modelling of Farmer Behaviour and Demonstration of Virus Spread,https://gtr.ukri.org/projects?ref=BB/X511201/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/X511201/1,IAA Commercial  – Optimising a field attractant for wireworms,https://gtr.ukri.org/projects?ref=BB/X511201/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
BB/X511201/1,IAA Commercial - Develop collaborations with North American grain scientists and processors by participating in the First Meeting of the Coalition for Grain Fibre,https://gtr.ukri.org/projects?ref=BB/X511201/1,Biotechnology and Biological Sciences Research Council,BBS,00cwqg982,ROR
